date,time,lower,upper
2009-12-27,15,0.014,0.015
2009-12-27,16,0.015,0.015
2009-12-27,17,0.014,0.014
2009-12-27,18,0.014,0.014
2009-12-27,19,0.014,0.014
2009-12-27,20,0.013,0.014
2009-12-27,21,0.014,0.014
2009-12-27,22,0.014,0.014
2009-12-27,23,0.014,0.014
2009-12-27,24,0.014,0.014
2009-12-28,1,0.014,0.015
2009-12-28,2,0.015,0.015
2009-12-28,3,0.014,0.015
2009-12-28,4,0.015,0.015
2009-12-28,5,0.015,0.015
2009-12-28,6,0.015,0.015
2009-12-28,7,0.015,0.015
2009-12-28,8,0.015,0.015
2009-12-28,9,0.015,0.015
2009-12-28,10,0.014,0.014
2009-12-28,11,0.014,0.014
2009-12-28,12,0.014,0.014
2009-12-28,13,0.014,0.014
2009-12-28,14,0.014,0.014
2009-12-28,15,0.014,0.014
2009-12-28,16,0.014,0.014
2009-12-28,17,0.014,0.014
2009-12-28,18,0.014,0.014
2009-12-28,19,0.014,0.014
2009-12-28,20,0.014,0.014
2009-12-28,21,0.014,0.014
2009-12-28,22,0.014,0.014
2009-12-28,23,0.014,0.014
2009-12-28,24,0.014,0.014
2009-12-29,1,0.014,0.015
2009-12-29,2,0.014,0.015
2009-12-29,3,0.015,0.015
2009-12-29,4,0.015,0.015
2009-12-29,5,0.015,0.015
2009-12-29,6,0.015,0.015
2009-12-29,7,0.014,0.014
2009-12-29,8,0.014,0.014
2009-12-29,9,0.014,0.014
2009-12-29,10,0.014,0.014
2009-12-29,11,0.014,0.014
2009-12-29,12,0.014,0.014
2009-12-29,13,0.014,0.014
2009-12-29,14,0.014,0.014
2009-12-29,15,0.015,0.015
2009-12-29,16,0.014,0.014
2009-12-29,17,0.014,0.014
2009-12-29,18,0.013,0.014
2009-12-29,19,0.014,0.014
2009-12-29,20,0.014,0.014
2009-12-29,21,0.014,0.014
2009-12-29,22,0.014,0.014
2009-12-29,23,0.014,0.014
2009-12-29,24,0.014,0.014
2009-12-30,1,0.014,0.015
2009-12-30,2,0.015,0.015
2009-12-30,3,0.015,0.015
2009-12-30,4,0.015,0.015
2009-12-30,5,0.014,0.015
2009-12-30,6,0.014,0.014
2009-12-30,7,0.014,0.014
2009-12-30,8,0.014,0.014
2009-12-30,9,0.015,0.015
2009-12-30,10,0.014,0.015
2009-12-30,11,0.014,0.014
2009-12-30,12,0.014,0.014
2009-12-30,13,0.014,0.014
2009-12-30,14,0.014,0.014
2009-12-30,15,0.014,0.014
2009-12-30,16,0.014,0.014
2009-12-30,17,0.014,0.014
2009-12-30,18,0.013,0.014
2009-12-30,19,0.013,0.014
2009-12-30,20,0.014,0.014
2009-12-30,21,0.014,0.014
2009-12-30,22,0.014,0.014
2009-12-30,23,0.014,0.014
2009-12-30,24,0.014,0.014
2009-12-31,1,0.014,0.014
2009-12-31,2,0.014,0.014
2009-12-31,3,0.014,0.014
2009-12-31,4,0.015,0.015
2009-12-31,5,0.015,0.015
2009-12-31,6,0.015,0.015
2009-12-31,7,0.015,0.015
2009-12-31,8,0.014,0.015
2009-12-31,9,0.014,0.014
2009-12-31,10,0.014,0.014
2009-12-31,11,0.014,0.014
2009-12-31,12,0.014,0.014
2009-12-31,13,0.014,0.014
2009-12-31,14,0.014,0.014
2009-12-31,15,0.014,0.014
2009-12-31,16,0.014,0.015
2009-12-31,17,0.013,0.014
2009-12-31,18,0.014,0.014
2009-12-31,19,0.013,0.014
2009-12-31,20,0.014,0.014
2009-12-31,21,0.014,0.014
2009-12-31,22,0.014,0.014
2009-12-31,23,0.014,0.014
2009-12-31,24,0.014,0.014
2010-01-01,1,0.014,0.014
2010-01-01,2,0.014,0.014
2010-01-01,3,0.015,0.015
2010-01-01,4,0.014,0.015
2010-01-01,5,0.015,0.015
2010-01-01,6,0.015,0.015
2010-01-01,7,0.015,0.015
2010-01-01,8,0.015,0.015
2010-01-01,9,0.015,0.015
2010-01-01,10,0.015,0.015
2010-01-01,11,0.014,0.014
2010-01-01,12,0.014,0.014
2010-01-01,13,0.014,0.014
2010-01-01,14,0.014,0.014
2010-01-01,15,0.014,0.014
2010-01-01,16,0.014,0.014
2010-01-01,17,0.014,0.014
2010-01-01,18,0.014,0.014
2010-01-01,19,0.014,0.014
2010-01-01,20,0.014,0.014
2010-01-01,21,0.014,0.014
2010-01-01,22,0.014,0.014
2010-01-01,23,0.014,0.014
2010-01-01,24,0.014,0.014
2010-01-02,1,0.014,0.014
2010-01-02,2,0.014,0.015
2010-01-02,3,0.015,0.015
2010-01-02,4,0.015,0.015
2010-01-02,5,0.015,0.015
2010-01-02,6,0.015,0.015
2010-01-02,7,0.015,0.015
2010-01-02,8,0.014,0.015
2010-01-02,9,0.015,0.015
2010-01-02,10,0.014,0.015
2010-01-02,11,0.014,0.014
2010-01-02,12,0.014,0.014
2010-01-02,13,0.014,0.014
2010-01-02,14,0.014,0.014
2010-01-02,15,0.014,0.014
2010-01-02,16,0.014,0.014
2010-01-02,17,0.014,0.014
2010-01-02,18,0.014,0.014
2010-01-02,19,0.014,0.014
2010-01-02,20,0.014,0.014
2010-01-02,21,0.014,0.014
2010-01-02,22,0.014,0.014
2010-01-02,23,0.014,0.014
2010-01-02,24,0.014,0.014
2010-01-03,1,0.014,0.014
2010-01-03,2,0.014,0.015
2010-01-03,3,0.014,0.015
2010-01-03,4,0.015,0.015
2010-01-03,5,0.014,0.015
2010-01-03,6,0.014,0.015
2010-01-03,7,0.014,0.015
2010-01-03,8,0.014,0.015
2010-01-03,9,0.015,0.015
2010-01-03,10,0.014,0.015
2010-01-03,11,0.014,0.014
2010-01-03,12,0.014,0.014
2010-01-03,13,0.014,0.014
2010-01-03,14,0.014,0.014
2010-01-03,15,0.014,0.014
2010-01-03,16,0.014,0.014
2010-01-03,17,0.014,0.014
2010-01-03,18,0.013,0.013
2010-01-03,19,0.014,0.014
2010-01-03,20,0.014,0.014
2010-01-03,21,0.014,0.014
2010-01-03,22,0.014,0.014
2010-01-03,23,0.014,0.014
2010-01-03,24,0.014,0.014
2010-01-04,1,0.014,0.014
2010-01-04,2,0.014,0.015
2010-01-04,3,0.015,0.015
2010-01-04,4,0.015,0.015
2010-01-04,5,0.015,0.015
2010-01-04,6,0.015,0.015
2010-01-04,7,0.015,0.015
2010-01-04,8,0.015,0.015
2010-01-04,9,0.014,0.014
2010-01-04,10,0.014,0.015
2010-01-04,11,0.015,0.015
2010-01-04,12,0.014,0.015
2010-01-04,13,0.014,0.014
2010-01-04,14,0.014,0.015
2010-01-04,15,0.014,0.015
2010-01-04,16,0.014,0.014
2010-01-04,17,0.014,0.014
2010-01-04,18,0.014,0.014
2010-01-04,19,0.014,0.014
2010-01-04,20,0.014,0.014
2010-01-04,21,0.014,0.014
2010-01-04,22,0.014,0.014
2010-01-04,23,0.014,0.014
2010-01-04,24,0.014,0.014
2010-01-05,1,0.015,0.015
2010-01-05,2,0.015,0.015
2010-01-05,3,0.015,0.015
2010-01-05,4,0.015,0.015
2010-01-05,5,0.015,0.015
2010-01-05,6,0.015,0.015
2010-01-05,7,0.014,0.015
2010-01-05,8,0.014,0.014
2010-01-05,9,0.014,0.014
2010-01-05,10,0.014,0.014
2010-01-05,11,0.014,0.015
2010-01-05,12,0.015,0.015
2010-01-05,13,0.014,0.015
2010-01-05,14,0.014,0.015
2010-01-05,15,0.014,0.015
2010-01-05,16,0.015,0.015
2010-01-05,17,0.014,0.014
2010-01-05,18,0.014,0.014
2010-01-05,19,0.014,0.014
2010-01-05,20,0.014,0.014
2010-01-05,21,0.014,0.014
2010-01-05,22,0.014,0.014
2010-01-05,23,0.014,0.014
2010-01-05,24,0.014,0.014
2010-01-06,1,0.014,0.015
2010-01-06,2,0.014,0.015
2010-01-06,3,0.015,0.015
2010-01-06,4,0.015,0.015
2010-01-06,5,0.015,0.015
2010-01-06,6,0.015,0.015
2010-01-06,7,0.014,0.014
2010-01-06,8,0.014,0.015
2010-01-06,9,0.014,0.014
2010-01-06,10,0.014,0.014
2010-01-06,11,0.014,0.014
2010-01-06,12,0.014,0.014
2010-01-06,13,0.014,0.014
2010-01-06,14,0.014,0.014
2010-01-06,15,0.014,0.014
2010-01-06,16,0.015,0.015
2010-01-06,17,0.014,0.014
2010-01-06,18,0.013,0.013
2010-01-06,19,0.013,0.014
2010-01-06,20,0.014,0.014
2010-01-06,21,0.014,0.014
2010-01-06,22,0.014,0.014
2010-01-06,23,0.014,0.014
2010-01-06,24,0.014,0.014
2010-01-07,1,0.014,0.014
2010-01-07,2,0.015,0.015
2010-01-07,3,0.015,0.015
2010-01-07,4,0.015,0.015
2010-01-07,5,0.015,0.015
2010-01-07,6,0.015,0.015
2010-01-07,7,0.014,0.015
2010-01-07,8,0.014,0.014
2010-01-07,9,0.014,0.015
2010-01-07,10,0.014,0.014
2010-01-07,11,0.014,0.014
2010-01-07,12,0.014,0.014
2010-01-07,13,0.014,0.014
2010-01-07,14,0.014,0.014
2010-01-07,15,0.014,0.014
2010-01-07,16,0.014,0.014
2010-01-07,17,0.014,0.014
2010-01-07,18,0.013,0.014
2010-01-07,19,0.013,0.013
2010-01-07,20,0.014,0.014
2010-01-07,21,0.014,0.014
2010-01-07,22,0.014,0.014
2010-01-07,23,0.014,0.014
2010-01-07,24,0.014,0.014
2010-01-08,1,0.015,0.015
2010-01-08,2,0.015,0.015
2010-01-08,3,0.014,0.014
2010-01-08,4,0.014,0.014
2010-01-08,5,0.014,0.014
2010-01-08,6,0.014,0.014
2010-01-08,7,0.014,0.014
2010-01-08,8,0.014,0.014
2010-01-08,9,0.014,0.014
2010-01-08,10,0.014,0.014
2010-01-08,11,0.014,0.014
2010-01-08,12,0.014,0.014
2010-01-08,13,0.014,0.014
2010-01-08,14,0.014,0.014
2010-01-08,15,0.014,0.014
2010-01-08,16,0.014,0.014
2010-01-08,17,0.014,0.014
2010-01-08,18,0.013,0.013
2010-01-08,19,0.013,0.014
2010-01-08,20,0.014,0.014
2010-01-08,21,0.014,0.014
2010-01-08,22,0.014,0.014
2010-01-08,23,0.014,0.014
2010-01-08,24,0.014,0.014
2010-01-09,1,0.014,0.014
2010-01-09,2,0.014,0.014
2010-01-09,3,0.015,0.015
2010-01-09,4,0.014,0.015
2010-01-09,5,0.014,0.014
2010-01-09,6,0.014,0.014
2010-01-09,7,0.014,0.015
2010-01-09,8,0.014,0.015
2010-01-09,9,0.015,0.015
2010-01-09,10,0.014,0.014
2010-01-09,11,0.014,0.014
2010-01-09,12,0.014,0.014
2010-01-09,13,0.014,0.014
2010-01-09,14,0.014,0.014
2010-01-09,15,0.014,0.015
2010-01-09,16,0.014,0.015
2010-01-09,17,0.014,0.014
2010-01-09,18,0.013,0.014
2010-01-09,19,0.013,0.014
2010-01-09,20,0.014,0.014
2010-01-09,21,0.014,0.014
2010-01-09,22,0.014,0.014
2010-01-09,23,0.014,0.014
2010-01-09,24,0.014,0.014
2010-01-10,1,0.014,0.015
2010-01-10,2,0.014,0.014
2010-01-10,3,0.015,0.015
2010-01-10,4,0.014,0.015
2010-01-10,5,0.014,0.014
2010-01-10,6,0.014,0.014
2010-01-10,7,0.014,0.014
2010-01-10,8,0.014,0.014
2010-01-10,9,0.014,0.014
2010-01-10,10,0.014,0.014
2010-01-10,11,0.014,0.014
2010-01-10,12,0.014,0.014
2010-01-10,13,0.014,0.014
2010-01-10,14,0.014,0.014
2010-01-10,15,0.014,0.014
2010-01-10,16,0.014,0.014
2010-01-10,17,0.014,0.014
2010-01-10,18,0.013,0.014
2010-01-10,19,0.014,0.014
2010-01-10,20,0.014,0.014
2010-01-10,21,0.014,0.014
2010-01-10,22,0.014,0.014
2010-01-10,23,0.014,0.014
2010-01-10,24,0.014,0.014
2010-01-11,1,0.015,0.015
2010-01-11,2,0.015,0.015
2010-01-11,3,0.015,0.015
2010-01-11,4,0.015,0.015
2010-01-11,5,0.015,0.015
2010-01-11,6,0.015,0.015
2010-01-11,7,0.014,0.015
2010-01-11,8,0.014,0.014
2010-01-11,9,0.014,0.014
2010-01-11,10,0.014,0.014
2010-01-11,11,0.014,0.014
2010-01-11,12,0.014,0.014
2010-01-11,13,0.014,0.014
2010-01-11,14,0.014,0.014
2010-01-11,15,0.014,0.014
2010-01-11,16,0.014,0.014
2010-01-11,17,0.014,0.014
2010-01-11,18,0.014,0.014
2010-01-11,19,0.014,0.014
2010-01-11,20,0.014,0.014
2010-01-11,21,0.014,0.014
2010-01-11,22,0.014,0.014
2010-01-11,23,0.014,0.014
2010-01-11,24,0.014,0.014
2010-01-12,1,0.015,0.015
2010-01-12,2,0.015,0.015
2010-01-12,3,0.014,0.015
2010-01-12,4,0.015,0.015
2010-01-12,5,0.015,0.015
2010-01-12,6,0.014,0.014
2010-01-12,7,0.014,0.014
2010-01-12,8,0.014,0.014
2010-01-12,9,0.014,0.014
2010-01-12,10,0.014,0.014
2010-01-12,11,0.014,0.014
2010-01-12,12,0.014,0.014
2010-01-12,13,0.014,0.014
2010-01-12,14,0.014,0.014
2010-01-12,15,0.014,0.014
2010-01-12,16,0.014,0.014
2010-01-12,17,0.014,0.014
2010-01-12,18,0.014,0.014
2010-01-12,19,0.013,0.013
2010-01-12,20,0.014,0.014
2010-01-12,21,0.014,0.014
2010-01-12,22,0.014,0.014
2010-01-12,23,0.014,0.014
2010-01-12,24,0.014,0.014
2010-01-13,1,0.015,0.015
2010-01-13,2,0.015,0.015
2010-01-13,3,0.015,0.015
2010-01-13,4,0.015,0.015
2010-01-13,5,0.015,0.015
2010-01-13,6,0.015,0.015
2010-01-13,7,0.014,0.014
2010-01-13,8,0.014,0.014
2010-01-13,9,0.014,0.014
2010-01-13,10,0.014,0.014
2010-01-13,11,0.014,0.014
2010-01-13,12,0.014,0.014
2010-01-13,13,0.014,0.014
2010-01-13,14,0.014,0.014
2010-01-13,15,0.014,0.014
2010-01-13,16,0.014,0.014
2010-01-13,17,0.014,0.014
2010-01-13,18,0.014,0.014
2010-01-13,19,0.014,0.014
2010-01-13,20,0.014,0.014
2010-01-13,21,0.014,0.014
2010-01-13,22,0.014,0.014
2010-01-13,23,0.014,0.014
2010-01-13,24,0.014,0.014
2010-01-14,1,0.014,0.015
2010-01-14,2,0.015,0.015
2010-01-14,3,0.015,0.015
2010-01-14,4,0.015,0.015
2010-01-14,5,0.015,0.015
2010-01-14,6,0.015,0.015
2010-01-14,7,0.014,0.015
2010-01-14,8,0.014,0.014
2010-01-14,9,0.014,0.014
2010-01-14,10,0.014,0.014
2010-01-14,11,0.014,0.014
2010-01-14,12,0.015,0.015
2010-01-14,13,0.014,0.015
2010-01-14,14,0.015,0.015
2010-01-14,15,0.015,0.015
2010-01-14,16,0.014,0.015
2010-01-14,17,0.014,0.014
2010-01-14,18,0.014,0.014
2010-01-14,19,0.014,0.014
2010-01-14,20,0.013,0.014
2010-01-14,21,0.014,0.014
2010-01-14,22,0.014,0.014
2010-01-14,23,0.014,0.014
2010-01-14,24,0.014,0.014
2010-01-15,1,0.014,0.015
2010-01-15,2,0.015,0.015
2010-01-15,3,0.015,0.015
2010-01-15,4,0.015,0.015
2010-01-15,5,0.015,0.015
2010-01-15,6,0.015,0.015
2010-01-15,7,0.014,0.015
2010-01-15,8,0.014,0.014
2010-01-15,9,0.014,0.014
2010-01-15,10,0.014,0.014
2010-01-15,11,0.014,0.014
2010-01-15,12,0.014,0.015
2010-01-15,13,0.014,0.015
2010-01-15,14,0.014,0.015
2010-01-15,15,0.014,0.015
2010-01-15,16,0.014,0.014
2010-01-15,17,0.014,0.014
2010-01-15,18,0.014,0.014
2010-01-15,19,0.014,0.014
2010-01-15,20,0.014,0.014
2010-01-15,21,0.014,0.014
2010-01-15,22,0.014,0.014
2010-01-15,23,0.014,0.014
2010-01-15,24,0.014,0.014
2010-01-16,1,0.015,0.015
2010-01-16,2,0.014,0.015
2010-01-16,3,0.014,0.015
2010-01-16,4,0.015,0.015
2010-01-16,5,0.015,0.015
2010-01-16,6,0.015,0.015
2010-01-16,7,0.015,0.015
2010-01-16,8,0.015,0.015
2010-01-16,9,0.015,0.015
2010-01-16,10,0.014,0.015
2010-01-16,11,0.014,0.014
2010-01-16,12,0.014,0.014
2010-01-16,13,0.014,0.014
2010-01-16,14,0.014,0.014
2010-01-16,15,0.014,0.014
2010-01-16,16,0.014,0.014
2010-01-16,17,0.014,0.014
2010-01-16,18,0.013,0.014
2010-01-16,19,0.014,0.014
2010-01-16,20,0.014,0.014
2010-01-16,21,0.014,0.014
2010-01-16,22,0.014,0.014
2010-01-16,23,0.014,0.014
2010-01-16,24,0.014,0.014
2010-01-17,1,0.014,0.014
2010-01-17,2,0.015,0.015
2010-01-17,3,0.015,0.015
2010-01-17,4,0.015,0.015
2010-01-17,5,0.015,0.015
2010-01-17,6,0.015,0.015
2010-01-17,7,0.015,0.015
2010-01-17,8,0.015,0.015
2010-01-17,9,0.015,0.015
2010-01-17,10,0.014,0.014
2010-01-17,11,0.014,0.015
2010-01-17,12,0.014,0.014
2010-01-17,13,0.014,0.014
2010-01-17,14,0.014,0.014
2010-01-17,15,0.014,0.014
2010-01-17,16,0.014,0.014
2010-01-17,17,0.014,0.014
2010-01-17,18,0.014,0.014
2010-01-17,19,0.014,0.014
2010-01-17,20,0.014,0.014
2010-01-17,21,0.014,0.014
2010-01-17,22,0.014,0.014
2010-01-17,23,0.014,0.015
2010-01-17,24,0.014,0.014
2010-01-18,1,0.014,0.014
2010-01-18,2,0.015,0.015
2010-01-18,3,0.015,0.015
2010-01-18,4,0.015,0.015
2010-01-18,5,0.015,0.015
2010-01-18,6,0.015,0.015
2010-01-18,7,0.014,0.014
2010-01-18,8,0.014,0.014
2010-01-18,9,0.014,0.014
2010-01-18,10,0.014,0.014
2010-01-18,11,0.014,0.014
2010-01-18,12,0.014,0.014
2010-01-18,13,0.014,0.014
2010-01-18,14,0.014,0.014
2010-01-18,15,0.014,0.014
2010-01-18,16,0.014,0.014
2010-01-18,17,0.014,0.014
2010-01-18,18,0.013,0.014
2010-01-18,19,0.014,0.014
2010-01-18,20,0.014,0.014
2010-01-18,21,0.014,0.014
2010-01-18,22,0.014,0.014
2010-01-18,23,0.014,0.014
2010-01-18,24,0.014,0.014
2010-01-19,1,0.015,0.015
2010-01-19,2,0.015,0.015
2010-01-19,3,0.015,0.015
2010-01-19,4,0.015,0.015
2010-01-19,5,0.015,0.015
2010-01-19,6,0.015,0.015
2010-01-19,7,0.015,0.015
2010-01-19,8,0.014,0.014
2010-01-19,9,0.014,0.014
2010-01-19,10,0.014,0.014
2010-01-19,11,0.014,0.014
2010-01-19,12,0.014,0.014
2010-01-19,13,0.014,0.014
2010-01-19,14,0.014,0.014
2010-01-19,15,0.014,0.014
2010-01-19,16,0.014,0.014
2010-01-19,17,0.014,0.014
2010-01-19,18,0.014,0.014
2010-01-19,19,0.013,0.014
2010-01-19,20,0.014,0.014
2010-01-19,21,0.014,0.014
2010-01-19,22,0.014,0.014
2010-01-19,23,0.014,0.014
2010-01-19,24,0.014,0.015
2010-01-20,1,0.015,0.015
2010-01-20,2,0.015,0.015
2010-01-20,3,0.015,0.015
2010-01-20,4,0.015,0.015
2010-01-20,5,0.015,0.015
2010-01-20,6,0.015,0.015
2010-01-20,7,0.014,0.015
2010-01-20,8,0.015,0.015
2010-01-20,9,0.014,0.015
2010-01-20,10,0.014,0.014
2010-01-20,11,0.014,0.014
2010-01-20,12,0.014,0.014
2010-01-20,13,0.014,0.014
2010-01-20,14,0.014,0.015
2010-01-20,15,0.014,0.014
2010-01-20,16,0.014,0.014
2010-01-20,17,0.014,0.014
2010-01-20,18,0.013,0.014
2010-01-20,19,0.014,0.014
2010-01-20,20,0.014,0.014
2010-01-20,21,0.014,0.014
2010-01-20,22,0.014,0.014
2010-01-20,23,0.014,0.014
2010-01-20,24,0.014,0.015
2010-01-21,1,0.014,0.015
2010-01-21,2,0.015,0.015
2010-01-21,3,0.015,0.015
2010-01-21,4,0.015,0.015
2010-01-21,5,0.015,0.015
2010-01-21,6,0.015,0.015
2010-01-21,7,0.014,0.015
2010-01-21,8,0.014,0.014
2010-01-21,9,0.014,0.014
2010-01-21,10,0.014,0.014
2010-01-21,11,0.015,0.015
2010-01-21,12,0.014,0.015
2010-01-21,13,0.014,0.014
2010-01-21,14,0.014,0.014
2010-01-21,15,0.014,0.014
2010-01-21,16,0.014,0.014
2010-01-21,17,0.014,0.014
2010-01-21,18,0.013,0.014
2010-01-21,19,0.013,0.014
2010-01-21,20,0.014,0.014
2010-01-21,21,0.014,0.014
2010-01-21,22,0.014,0.014
2010-01-21,23,0.014,0.014
2010-01-21,24,0.014,0.014
2010-01-22,1,0.014,0.015
2010-01-22,2,0.015,0.015
2010-01-22,3,0.015,0.015
2010-01-22,4,0.015,0.015
2010-01-22,5,0.015,0.015
2010-01-22,6,0.015,0.015
2010-01-22,7,0.014,0.015
2010-01-22,8,0.015,0.015
2010-01-22,9,0.014,0.014
2010-01-22,10,0.014,0.014
2010-01-22,11,0.015,0.015
2010-01-22,12,0.015,0.015
2010-01-22,13,0.015,0.015
2010-01-22,14,0.015,0.015
2010-01-22,15,0.015,0.015
2010-01-22,16,0.015,0.015
2010-01-22,17,0.014,0.014
2010-01-22,18,0.014,0.014
2010-01-22,19,0.014,0.014
2010-01-22,20,0.014,0.014
2010-01-22,21,0.014,0.014
2010-01-22,22,0.014,0.014
2010-01-22,23,0.014,0.014
2010-01-22,24,0.014,0.014
2010-01-23,1,0.014,0.015
2010-01-23,2,0.015,0.015
2010-01-23,3,0.015,0.015
2010-01-23,4,0.015,0.015
2010-01-23,5,0.015,0.015
2010-01-23,6,0.015,0.015
2010-01-23,7,0.015,0.015
2010-01-23,8,0.015,0.015
2010-01-23,9,0.015,0.015
2010-01-23,10,0.014,0.014
2010-01-23,11,0.014,0.014
2010-01-23,12,0.014,0.014
2010-01-23,13,0.014,0.014
2010-01-23,14,0.014,0.014
2010-01-23,15,0.014,0.014
2010-01-23,16,0.015,0.015
2010-01-23,17,0.014,0.014
2010-01-23,18,0.013,0.013
2010-01-23,19,0.014,0.014
2010-01-23,20,0.014,0.014
2010-01-23,21,0.014,0.014
2010-01-23,22,0.014,0.014
2010-01-23,23,0.015,0.015
2010-01-23,24,0.014,0.015
2010-01-24,1,0.015,0.015
2010-01-24,2,0.015,0.015
2010-01-24,3,0.014,0.014
2010-01-24,4,0.014,0.014
2010-01-24,5,0.014,0.015
2010-01-24,6,0.014,0.015
2010-01-24,7,0.014,0.015
2010-01-24,8,0.014,0.014
2010-01-24,9,0.014,0.014
2010-01-24,10,0.014,0.014
2010-01-24,11,0.014,0.015
2010-01-24,12,0.014,0.014
2010-01-24,13,0.014,0.014
2010-01-24,14,0.014,0.014
2010-01-24,15,0.014,0.014
2010-01-24,16,0.014,0.014
2010-01-24,17,0.014,0.014
2010-01-24,18,0.014,0.014
2010-01-24,19,0.013,0.013
2010-01-24,20,0.014,0.014
2010-01-24,21,0.014,0.014
2010-01-24,22,0.014,0.014
2010-01-24,23,0.014,0.014
2010-01-24,24,0.015,0.015
2010-01-25,1,0.015,0.015
2010-01-25,2,0.014,0.014
2010-01-25,3,0.015,0.015
2010-01-25,4,0.015,0.015
2010-01-25,5,0.015,0.015
2010-01-25,6,0.015,0.015
2010-01-25,7,0.014,0.015
2010-01-25,8,0.014,0.014
2010-01-25,9,0.015,0.015
2010-01-25,10,0.014,0.014
2010-01-25,11,0.014,0.014
2010-01-25,12,0.014,0.014
2010-01-25,13,0.014,0.014
2010-01-25,14,0.015,0.015
2010-01-25,15,0.014,0.014
2010-01-25,16,0.014,0.014
2010-01-25,17,0.014,0.014
2010-01-25,18,0.013,0.013
2010-01-25,19,0.013,0.014
2010-01-25,20,0.014,0.014
2010-01-25,21,0.014,0.014
2010-01-25,22,0.014,0.014
2010-01-25,23,0.014,0.014
2010-01-25,24,0.015,0.015
2010-01-26,1,0.015,0.015
2010-01-26,2,0.015,0.015
2010-01-26,3,0.015,0.015
2010-01-26,4,0.014,0.014
2010-01-26,5,0.014,0.014
2010-01-26,6,0.014,0.014
2010-01-26,7,0.014,0.015
2010-01-26,8,0.014,0.015
2010-01-26,9,0.014,0.014
2010-01-26,10,0.014,0.014
2010-01-26,11,0.014,0.014
2010-01-26,12,0.014,0.014
2010-01-26,13,0.014,0.014
2010-01-26,14,0.015,0.015
2010-01-26,15,0.014,0.015
2010-01-26,16,0.014,0.015
2010-01-26,17,0.014,0.014
2010-01-26,18,0.013,0.014
2010-01-26,19,0.013,0.013
2010-01-26,20,0.013,0.014
2010-01-26,21,0.014,0.014
2010-01-26,22,0.014,0.014
2010-01-26,23,0.014,0.015
2010-01-26,24,0.015,0.015
2010-01-27,1,0.015,0.015
2010-01-27,2,0.015,0.015
2010-01-27,3,0.014,0.014
2010-01-27,4,0.015,0.015
2010-01-27,5,0.015,0.015
2010-01-27,6,0.014,0.014
2010-01-27,7,0.014,0.015
2010-01-27,8,0.014,0.014
2010-01-27,9,0.014,0.014
2010-01-27,10,0.015,0.015
2010-01-27,11,0.015,0.015
2010-01-27,12,0.015,0.015
2010-01-27,13,0.015,0.015
2010-01-27,14,0.015,0.015
2010-01-27,15,0.015,0.015
2010-01-27,16,0.015,0.015
2010-01-27,17,0.014,0.014
2010-01-27,18,0.014,0.014
2010-01-27,19,0.013,0.014
2010-01-27,20,0.014,0.014
2010-01-27,21,0.013,0.014
2010-01-27,22,0.014,0.014
2010-01-27,23,0.014,0.014
2010-01-27,24,0.015,0.015
2010-01-28,1,0.014,0.015
2010-01-28,2,0.014,0.015
2010-01-28,3,0.014,0.014
2010-01-28,4,0.014,0.015
2010-01-28,5,0.014,0.015
2010-01-28,6,0.014,0.014
2010-01-28,7,0.014,0.014
2010-01-28,8,0.014,0.014
2010-01-28,9,0.014,0.014
2010-01-28,10,0.014,0.014
2010-01-28,11,0.014,0.014
2010-01-28,12,0.014,0.014
2010-01-28,13,0.014,0.014
2010-01-28,14,0.014,0.014
2010-01-28,15,0.014,0.014
2010-01-28,16,0.014,0.014
2010-01-28,17,0.014,0.014
2010-01-28,18,0.013,0.013
2010-01-28,19,0.014,0.014
2010-01-28,20,0.014,0.014
2010-01-28,21,0.014,0.014
2010-01-28,22,0.014,0.014
2010-01-28,23,0.014,0.014
2010-01-28,24,0.015,0.015
2010-01-29,1,0.015,0.015
2010-01-29,2,0.015,0.015
2010-01-29,3,0.015,0.015
2010-01-29,4,0.015,0.015
2010-01-29,5,0.015,0.015
2010-01-29,6,0.015,0.015
2010-01-29,7,0.014,0.015
2010-01-29,8,0.014,0.015
2010-01-29,9,0.014,0.014
2010-01-29,10,0.014,0.014
2010-01-29,11,0.014,0.014
2010-01-29,12,0.014,0.014
2010-01-29,13,0.014,0.015
2010-01-29,14,0.015,0.015
2010-01-29,15,0.015,0.015
2010-01-29,16,0.014,0.015
2010-01-29,17,0.014,0.014
2010-01-29,18,0.013,0.013
2010-01-29,19,0.013,0.014
2010-01-29,20,0.014,0.014
2010-01-29,21,0.014,0.014
2010-01-29,22,0.014,0.014
2010-01-29,23,0.014,0.015
2010-01-29,24,0.014,0.014
2010-01-30,1,0.015,0.015
2010-01-30,2,0.014,0.015
2010-01-30,3,0.014,0.014
2010-01-30,4,0.015,0.015
2010-01-30,5,0.015,0.015
2010-01-30,6,0.015,0.015
2010-01-30,7,0.015,0.015
2010-01-30,8,0.014,0.015
2010-01-30,9,0.014,0.015
2010-01-30,10,0.014,0.014
2010-01-30,11,0.014,0.014
2010-01-30,12,0.014,0.014
2010-01-30,13,0.014,0.014
2010-01-30,14,0.014,0.014
2010-01-30,15,0.014,0.014
2010-01-30,16,0.014,0.014
2010-01-30,17,0.014,0.014
2010-01-30,18,0.014,0.014
2010-01-30,19,0.014,0.014
2010-01-30,20,0.014,0.014
